Sampling Design,Estuary,Station,BSS(A),3SS(A),GAST,GASP,4SS(A),4SS(YOY),9SS(A),9SS(YOY),MUM(A),FUND(YOY),SSH(A),SSH(YOY),GSH(A),GSH(YOY),SILV(A),SILV(YOY),SFL(A),WFL(A),FLOU(YOY),WNFL(A),KIL(A),SBA(A),EEL(A),PIP(A),CUN(A),TOM(A),RCR(A),RCR(YOY),GCR(A),GCR(YOY),MCR(A),MCR(YOY),SMEL(YOY),PER(A),GRUB(A),,,,
SRD,Shediac,1,0,0,0,0,0,0,0,0,4,86,102,45,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,
SRD,Shediac,2,0,0,5,0,1,1,1,0,10,36,63,407,27,0,0,63,8,0,0,0,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,,,,
SRD,Shediac,3,0,0,2,0,3,1,0,0,1,32,46,116,6,0,0,72,4,0,0,0,1,0,0,0,0,0,0,0,2,0,36,3,0,0,0,,,,
SRD,Shediac,4,0,0,0,0,3,0,0,0,0,4,143,536,2,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,
SRD,Shediac,5,0,0,0,0,0,0,0,0,60,933,21,80,1,0,1,214,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,,,,
SRD,Shediac,6,0,0,1,0,0,1,0,0,161,301,12,108,1,0,1,62,2,0,2,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,,,,
CAMP,Shediac,1,0,0,0,0,5,2,0,0,0,21,13,47,11,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,,,,
CAMP,Shediac,2,0,0,1,0,1,2,0,0,7,100,16,177,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,,,,
CAMP,Shediac,3,0,1,0,0,0,0,0,0,10,19,7,166,0,0,1,45,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,,,,
CAMP ,Shediac,4,1,0,0,7,3,0,0,0,77,125,13,80,0,0,1,19,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,,,,
CAMP,Shediac,5,0,1,0,0,7,0,0,0,24,40,0,0,5,0,7,66,1,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,,,,
CAMP,Shediac,6,0,1,0,0,1,0,0,0,18,72,12,201,7,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,,,,
SRD,Souris,1,6,11,2,0,0,0,0,0,0,0,240,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,,,,
SRD,Souris,2,4,1,0,0,1,0,0,0,2,0,1562,26,9,0,9,3,0,3,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,,,
SRD,Souris,3,4,0,0,0,0,0,0,0,0,0,1333,14,73,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,29,0,0,0,0,0,0,,,,
SRD,Souris,4,39,2,34,0,0,0,1,0,0,0,346,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
SRD,Souris,5,4,0,0,0,0,0,2,0,0,0,342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,,,,
SRD,Souris,6,2,0,0,0,0,0,0,0,0,0,535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Souris,2,9,2,21,0,2,0,3,0,0,0,1090,15,343,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,,,,
CAMP,Souris,3,77,2,12,0,0,0,0,0,0,0,3474,7,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,,,,
CAMP,Souris,4,0,0,0,0,1,0,0,0,0,0,642,7,112,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,,,,
CAMP,Souris,5,3,0,0,0,0,0,0,0,0,0,3106,3,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,,,,
CAMP,Souris,6,26,0,0,0,1,0,0,0,0,1,643,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
SRD,Cocagne,1,0,0,0,0,258,0,0,0,6,0,102,3,3,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,,,,
SRD,Cocagne,2,0,0,0,0,20,0,0,0,524,0,74,0,6,0,3,1,0,0,32,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,,,,
SRD,Cocagne,3,2,0,0,0,223,0,0,0,256,0,59,2,4,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,30,0,3,0,0,0,0,,,,
SRD,Cocagne,4,1,0,0,0,38,0,0,0,681,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,,,,
SRD,Cocagne,5,36,20,0,0,602,0,0,0,342,0,246,5,2867,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,,,,
SRD,Cocagne,6,0,0,0,0,2,0,0,0,0,0,494,89,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
CAMP,Cocagne,1,2,5,0,0,12,0,0,0,77,0,25,0,18,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,,,,
CAMP,Cocagne,2,18,16,0,0,49,0,0,0,15,0,10,0,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,,,
CAMP,Cocagne,3,9,0,0,0,33,0,0,0,56,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,
CAMP,Cocagne,4,0,1,0,0,8,0,0,0,0,0,72,2,0,0,0,102,7,4,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,,,
CAMP,Cocagne,5,4,2,0,0,30,0,0,0,30,0,12,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
CAMP,Cocagne,6,24,1,0,0,50,0,0,0,0,0,40,1,43,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,29,0,1,0,0,0,0,,,,
SRD,Summerside,1,0,0,4,2,4,0,1,0,96,13,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,
SRD,Summerside,2,0,0,12,53,2,0,1,0,515,12,1,0,0,0,5,2389,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,
SRD,Summerside,3,0,0,4,0,1,0,0,0,0,5,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Summerside,4,0,1,19,49,0,0,0,0,8,3,0,0,0,0,6,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,,,,
SRD,Summerside,5,0,0,1,0,33,0,3,0,5,0,1,0,0,0,1,534,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Summerside,1,0,0,0,0,0,0,0,0,7,2,33,1,0,0,10,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP ,Summerside,2,0,0,7,0,0,0,0,0,132,1,0,0,0,0,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Summerside,3,0,2,27,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Summerside,4,0,0,5,31,0,0,2,0,42,0,0,0,0,0,7,566,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,
CAMP,Summerside,5,0,0,6,2,0,0,0,0,42,6,0,0,0,0,0,901,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Summerside,6,0,0,0,7,1,0,0,0,33,0,1,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Brudenell,1,3,4,60,0,45,0,0,0,52,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Brudenell,2,2,0,13,0,30,2,3,0,7,0,88,6,0,0,2,46,3,7,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,,,
SRD,Brudenell,3,0,5,7,0,5,0,1,0,2,0,199,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
SRD,Brudenell,4,4,4,0,0,2,0,0,0,2,0,51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,,
SRD,Brudenell,5,2,2,0,0,0,0,0,0,0,0,15,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
SRD,Brudenell,6,4,2,0,0,1,0,0,0,270,0,114,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
CAMP,Brudenell,1,1,1,0,0,0,0,0,0,0,0,404,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,,,
CAMP,Brudenell,2,2,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
CAMP,Brudenell,3,9,11,27,0,10,0,0,0,1,0,43,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,
CAMP,Brudenell,4,3,1,0,0,1,1,1,0,320,0,24,0,0,0,2,12,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
CAMP,Brudenell,5,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
CAMP,Brudenell,6,1,2,0,0,0,0,0,0,2,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,,,,
SRD,Richibuctou,1,13,0,1,0,139,0,0,0,5,0,979,47,5,0,0,0,0,0,12,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,,,,
SRD,Richibuctou,2,17,1,0,0,141,0,0,0,284,0,239,14,1,0,0,474,1,4,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,,,,
SRD,Richibuctou,3,8,0,0,0,8,0,0,0,1,0,125,11,1,0,19,7,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
SRD,Richibuctou,4,45,2,2,0,241,0,3,1,1,0,63,0,15,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,,,,
SRD,Richibuctou,5,0,0,0,0,436,18,1,0,70,0,427,43,153,2,1,60,2,3,6,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,,,,
SRD,Richibuctou,6,4,1,19,0,310,1,0,0,8,0,1076,94,43,0,2,36,9,2,28,0,0,0,0,0,3,1,24,0,3,0,0,0,0,1,0,,,,
CAMP,Richibuctou,1,1,1,5,0,73,0,0,0,0,0,59,2,0,0,0,6,0,0,3,0,0,0,0,0,0,0,1,1,3,0,3,0,0,1,0,,,,
CAMP,Richibuctou,2,18,6,2,0,579,0,1,0,1,0,397,2,2,0,0,5,2,1,1,0,0,0,0,0,6,10,7,0,0,0,0,0,0,0,0,,,,
CAMP,Richibuctou,3,1,0,0,0,11,0,0,0,29,0,674,12,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
CAMP,Richibuctou,4,0,0,0,0,13,0,0,0,0,1,660,4,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,
CAMP,Richibuctou,5,11,3,0,0,435,0,0,0,82,0,114,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,
CAMP,Richibuctou,6,4,3,0,0,256,0,1,0,1,0,667,2,90,0,1,0,0,3,0,0,0,0,0,0,0,7,7,0,3,0,0,0,0,0,0,,,,
SRD,Bouctouche,1,0,0,0,2,6,0,0,0,0,3,286,304,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,
SRD,Bouctouche,2,1,0,1,14,1,0,0,1,0,0,89,91,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,
SRD,Bouctouche,3,0,0,0,0,1,0,0,0,0,0,63,23,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,
SRD,Bouctouche,4,0,0,0,0,4,0,0,0,5,3,212,103,0,0,13,8,37,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,
SRD,Bouctouche,5,1,0,2,3,293,2,0,0,7,1,97,63,193,0,0,120,1,1,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,,,,
SRD,Bouctouche,6,0,0,0,0,6,1,0,0,1,1,390,800,1,0,0,1327,0,0,2,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,,,,
CAMP,Bouctouche,1,1,1,2,6,184,25,0,0,6,3,419,304,38,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,4,0,79,13,0,0,0,,,,
CAMP,Bouctouche,2,1,0,1,1,13,2,0,1,0,0,488,357,41,0,16,2689,31,3,13,0,0,0,0,0,0,0,0,0,1,0,19,4,0,0,0,,,,
CAMP,Bouctouche,3,0,1,0,1,4,0,0,0,20,1,61,0,4,0,1,7,3,0,5,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,,,,
CAMP,Bouctouche,4,1,0,0,15,26,0,1,0,0,0,126,43,256,12,1,1864,18,2,2,0,0,0,0,0,0,0,0,0,4,0,16,0,19,0,0,,,,
CAMP,Bouctouche,5,1,0,0,2,27,4,0,0,6,3,738,1465,0,0,0,1585,6,0,6,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,,,,
CAMP,Bouctouche,6,1,0,0,0,138,9,0,0,1,0,51,40,410,0,1,423,0,1,0,0,0,0,0,0,0,0,0,0,19,0,33,3,0,0,0,,,,
SRD,St. Louis,1,10,1,9,0,2,0,5,0,236,1,3,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,5,1,0,1,0,,,,
SRD,St. Louis,2,20,1,0,0,0,0,1,0,15,176,30,0,0,0,9,269,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,
SRD,St. Louis,3,49,10,1,0,1,0,52,4,82,3,47,0,0,0,1,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,5,0,0,2,0,,,,
SRD,St. Louis,4,29,2,9,0,9,0,59,0,168,1,122,0,5,0,0,1,0,0,0,0,201,0,1,0,0,0,0,0,0,0,2,1,0,1,0,,,,
SRD,St. Louis,5,246,16,7,0,2,0,23,0,2,1,57,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,
SRD,St. Louis,6,11,0,0,0,13,0,0,0,0,0,21,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,St. Louis,1,4,6,0,0,79,0,1,0,3,0,84,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,,,,
CAMP,St. Louis,2,4,3,1,0,0,0,1,0,31,0,10,0,0,0,2,1,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,St. Louis,3,17,5,12,0,10,0,14,1,7,0,17,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
CAMP,St. Louis,4,6,2,1,0,1,0,5,2,68,1,12,0,0,0,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,,,
CAMP,St. Louis,5,8,3,0,0,1,0,6,0,195,0,32,0,0,0,2,2,0,0,0,0,103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,
CAMP,St. Louis,6,11,3,2,0,2,0,2,0,355,1,29,0,0,0,0,2,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout,2,9,15,0,0,39,2,6,0,310,0,0,0,1,0,39,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout,3,8,28,0,0,422,0,10,0,748,1,8,0,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout,1,12,29,8,0,458,13,16,0,2560,10,21,0,32,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout,4,25,52,0,0,144,0,1,0,372,0,566,0,7,0,135,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout,5,24,74,1,0,196,16,5,0,121,0,50,0,215,0,473,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,
SRD,Trout ,6,21,86,0,0,217,0,1,0,699,0,442,0,23,0,0,0,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,1,149,85,40,0,423,4,46,1,663,83,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,2,12,33,1,0,781,3,0,0,164,0,315,7,76,0,16,2,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,3,30,80,0,0,461,0,10,0,4277,0,24,0,49,0,113,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,4,105,239,7,0,606,4,1,0,359,0,67,6,333,0,4,53,0,5,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,5,34,107,0,0,441,0,0,0,306,0,62,5,54,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMP,Trout ,6,32,44,1,0,317,0,2,0,197,0,16,0,118,0,14,0,0,2,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
